date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-11-28,RJ,São José do Vale do Rio Preto,city,573,19,True,21916,3305158,2614.5282,0.0332
2020-11-25,RJ,São José do Vale do Rio Preto,city,558,19,False,21916,3305158,2546.08505,0.0341
2020-11-24,RJ,São José do Vale do Rio Preto,city,554,19,False,21916,3305158,2527.83355,0.0343
2020-11-22,RJ,São José do Vale do Rio Preto,city,538,19,False,21916,3305158,2454.82752,0.0353
2020-11-21,RJ,São José do Vale do Rio Preto,city,522,19,False,21916,3305158,2381.8215,0.0364
2020-11-20,RJ,São José do Vale do Rio Preto,city,522,19,False,21916,3305158,2381.8215,0.0364
2020-11-18,RJ,São José do Vale do Rio Preto,city,515,19,False,21916,3305158,2349.88137,0.0369
2020-11-17,RJ,São José do Vale do Rio Preto,city,512,19,False,21916,3305158,2336.19274,0.0371
2020-11-10,RJ,São José do Vale do Rio Preto,city,503,19,False,21916,3305158,2295.12685,0.0378
2020-11-09,RJ,São José do Vale do Rio Preto,city,502,19,False,21916,3305158,2290.56397,0.0378
2020-11-06,RJ,São José do Vale do Rio Preto,city,497,19,False,21916,3305158,2267.74959,0.0382
2020-11-05,RJ,São José do Vale do Rio Preto,city,497,19,False,21916,3305158,2267.74959,0.0382
2020-11-04,RJ,São José do Vale do Rio Preto,city,499,19,False,21916,3305158,2276.87534,0.0381
2020-11-03,RJ,São José do Vale do Rio Preto,city,499,19,False,21916,3305158,2276.87534,0.0381
2020-11-01,RJ,São José do Vale do Rio Preto,city,497,19,False,21916,3305158,2267.74959,0.0382
2020-10-31,RJ,São José do Vale do Rio Preto,city,497,19,False,21916,3305158,2267.74959,0.0382
2020-10-30,RJ,São José do Vale do Rio Preto,city,497,19,False,21916,3305158,2267.74959,0.0382
2020-10-29,RJ,São José do Vale do Rio Preto,city,496,19,False,21916,3305158,2263.18671,0.0383
2020-10-28,RJ,São José do Vale do Rio Preto,city,496,19,False,21916,3305158,2263.18671,0.0383
2020-10-27,RJ,São José do Vale do Rio Preto,city,493,19,False,21916,3305158,2249.49808,0.0385
2020-10-26,RJ,São José do Vale do Rio Preto,city,491,19,False,21916,3305158,2240.37233,0.0387
2020-10-25,RJ,São José do Vale do Rio Preto,city,488,19,False,21916,3305158,2226.6837,0.0389
2020-10-24,RJ,São José do Vale do Rio Preto,city,488,19,False,21916,3305158,2226.6837,0.0389
2020-10-23,RJ,São José do Vale do Rio Preto,city,487,19,False,21916,3305158,2222.12082,0.039
2020-10-22,RJ,São José do Vale do Rio Preto,city,486,19,False,21916,3305158,2217.55795,0.0391
2020-10-21,RJ,São José do Vale do Rio Preto,city,485,19,False,21916,3305158,2212.99507,0.0392
2020-10-20,RJ,São José do Vale do Rio Preto,city,485,19,False,21916,3305158,2212.99507,0.0392
2020-10-19,RJ,São José do Vale do Rio Preto,city,483,19,False,21916,3305158,2203.86932,0.0393
2020-10-18,RJ,São José do Vale do Rio Preto,city,483,19,False,21916,3305158,2203.86932,0.0393
2020-10-17,RJ,São José do Vale do Rio Preto,city,483,19,False,21916,3305158,2203.86932,0.0393
2020-10-16,RJ,São José do Vale do Rio Preto,city,483,19,False,21916,3305158,2203.86932,0.0393
2020-10-15,RJ,São José do Vale do Rio Preto,city,481,19,False,21916,3305158,2194.74357,0.0395
2020-10-14,RJ,São José do Vale do Rio Preto,city,476,19,False,21916,3305158,2171.92918,0.0399
2020-10-13,RJ,São José do Vale do Rio Preto,city,476,19,False,21916,3305158,2171.92918,0.0399
2020-10-12,RJ,São José do Vale do Rio Preto,city,476,19,False,21916,3305158,2171.92918,0.0399
2020-10-11,RJ,São José do Vale do Rio Preto,city,476,19,False,21916,3305158,2171.92918,0.0399
2020-10-10,RJ,São José do Vale do Rio Preto,city,475,19,False,21916,3305158,2167.36631,0.04
2020-10-09,RJ,São José do Vale do Rio Preto,city,475,19,False,21916,3305158,2167.36631,0.04
2020-10-08,RJ,São José do Vale do Rio Preto,city,473,19,False,21916,3305158,2158.24055,0.0402
2020-10-07,RJ,São José do Vale do Rio Preto,city,474,19,False,21916,3305158,2162.80343,0.0401
2020-10-06,RJ,São José do Vale do Rio Preto,city,474,19,False,21916,3305158,2162.80343,0.0401
2020-10-05,RJ,São José do Vale do Rio Preto,city,474,19,False,21916,3305158,2162.80343,0.0401
2020-10-03,RJ,São José do Vale do Rio Preto,city,474,19,False,21916,3305158,2162.80343,0.0401
2020-10-02,RJ,São José do Vale do Rio Preto,city,473,19,False,21916,3305158,2158.24055,0.0402
2020-10-01,RJ,São José do Vale do Rio Preto,city,473,19,False,21916,3305158,2158.24055,0.0402
2020-09-30,RJ,São José do Vale do Rio Preto,city,471,19,False,21916,3305158,2149.1148,0.0403
2020-09-29,RJ,São José do Vale do Rio Preto,city,475,19,False,21916,3305158,2167.36631,0.04
2020-09-28,RJ,São José do Vale do Rio Preto,city,475,19,False,21916,3305158,2167.36631,0.04
2020-09-27,RJ,São José do Vale do Rio Preto,city,475,19,False,21916,3305158,2167.36631,0.04
2020-09-26,RJ,São José do Vale do Rio Preto,city,475,19,False,21916,3305158,2167.36631,0.04
2020-09-25,RJ,São José do Vale do Rio Preto,city,475,19,False,21916,3305158,2167.36631,0.04
2020-09-24,RJ,São José do Vale do Rio Preto,city,474,19,False,21916,3305158,2162.80343,0.0401
2020-09-22,RJ,São José do Vale do Rio Preto,city,470,19,False,21916,3305158,2144.55193,0.0404
2020-09-21,RJ,São José do Vale do Rio Preto,city,468,19,False,21916,3305158,2135.42617,0.0406
2020-09-20,RJ,São José do Vale do Rio Preto,city,468,19,False,21916,3305158,2135.42617,0.0406
2020-09-19,RJ,São José do Vale do Rio Preto,city,466,19,False,21916,3305158,2126.30042,0.0408
2020-09-18,RJ,São José do Vale do Rio Preto,city,465,19,False,21916,3305158,2121.73754,0.0409
2020-09-17,RJ,São José do Vale do Rio Preto,city,458,19,False,21916,3305158,2089.79741,0.0415
2020-09-16,RJ,São José do Vale do Rio Preto,city,456,17,False,21916,3305158,2080.67166,0.0373
2020-09-15,RJ,São José do Vale do Rio Preto,city,453,17,False,21916,3305158,2066.98303,0.0375
2020-09-14,RJ,São José do Vale do Rio Preto,city,447,17,False,21916,3305158,2039.60577,0.038
2020-09-13,RJ,São José do Vale do Rio Preto,city,447,17,False,21916,3305158,2039.60577,0.038
2020-09-12,RJ,São José do Vale do Rio Preto,city,438,17,False,21916,3305158,1998.53988,0.0388
2020-09-11,RJ,São José do Vale do Rio Preto,city,438,17,False,21916,3305158,1998.53988,0.0388
2020-09-10,RJ,São José do Vale do Rio Preto,city,415,17,False,21916,3305158,1893.59372,0.041
2020-09-09,RJ,São José do Vale do Rio Preto,city,408,15,False,21916,3305158,1861.65359,0.0368
2020-09-08,RJ,São José do Vale do Rio Preto,city,408,15,False,21916,3305158,1861.65359,0.0368
2020-09-07,RJ,São José do Vale do Rio Preto,city,408,15,False,21916,3305158,1861.65359,0.0368
2020-09-06,RJ,São José do Vale do Rio Preto,city,409,15,False,21916,3305158,1866.21646,0.0367
2020-09-05,RJ,São José do Vale do Rio Preto,city,408,15,False,21916,3305158,1861.65359,0.0368
2020-09-04,RJ,São José do Vale do Rio Preto,city,408,15,False,21916,3305158,1861.65359,0.0368
2020-09-03,RJ,São José do Vale do Rio Preto,city,408,15,False,21916,3305158,1861.65359,0.0368
2020-09-02,RJ,São José do Vale do Rio Preto,city,403,15,False,21916,3305158,1838.8392,0.0372
2020-09-01,RJ,São José do Vale do Rio Preto,city,402,15,False,21916,3305158,1834.27633,0.0373
2020-08-31,RJ,São José do Vale do Rio Preto,city,398,14,False,21916,3305158,1816.02482,0.0352
2020-08-30,RJ,São José do Vale do Rio Preto,city,397,14,False,21916,3305158,1811.46195,0.0353
2020-08-29,RJ,São José do Vale do Rio Preto,city,396,14,False,21916,3305158,1806.89907,0.0354
2020-08-27,RJ,São José do Vale do Rio Preto,city,390,14,False,21916,3305158,1779.52181,0.0359
2020-08-26,RJ,São José do Vale do Rio Preto,city,389,14,False,21916,3305158,1774.95893,0.036
2020-08-25,RJ,São José do Vale do Rio Preto,city,383,14,False,21916,3305158,1747.58168,0.0366
2020-08-24,RJ,São José do Vale do Rio Preto,city,378,14,False,21916,3305158,1724.76729,0.037
2020-08-23,RJ,São José do Vale do Rio Preto,city,378,14,False,21916,3305158,1724.76729,0.037
